Publisher ID,Publisher Name,Keyword ID,Keyword,Match Type,Campaign,Keyword Group,Category,Bid Strategy,Keyword Type,Status,Search Engine Bid,Clicks,Avg. Cost per Click,Impressions,Engine Click Thru %,Avg. Pos.,Trans. Conv. %,Total Cost/ Trans.,Amount,Total Cost,Total Volume of Bookings
K435,Google - US,4.30E+16,ticket to france,Broad,Paris & France Terms,France,uncategorized,Pos 3-6,Unassigned,Paused,10,114,3.72,1139,0.1,1.57,0.009,424.15,2910.4,424.15,1
K2615,Yahoo - US,4.30E+16,paris airfares,Standard,Paris & France Terms,Paris,uncategorized,,Unassigned,Live,6.25,150,1.7,4991,0.03,1.03,0.007,254.55,1733.15,254.55,1
K435,Google - US,4.30E+16,paris flight,Broad,Geo Targeted Houston,Houston to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,6.25,55,2.68,2134,0.026,1.72,0.018,147.5,1000.45,147.5,1
K1175,Google - Global,4.30E+16,paris airfares,Broad,Air France Global Campaign,Paris,paris,Position 1- 3,Unassigned,Unavailable,2.5,95,1.6,3288,0.029,2.07,0.011,152.4,1003,152.4,1
K1175,Google - Global,4.30E+16,ticket paris,Broad,Air France Brand & French Destinations,Paris,uncategorized,,Unassigned,Unavailable,5,113,2.92,1262,0.09,1.53,0.018,164.99,2148.8,329.97,2
K435,Google - US,4.30E+16,air france,Broad,Air France Branded,Air France Brand,uncategorized,,Unassigned,Live,27.5,29060,1.59,385476,0.075,1.44,0.008,206.2,290609.9,46188.44,224
K435,Google - US,4.30E+16,air france to paris,Broad,Paris & France Terms,Paris Branded,uncategorized,Position 2-5 Bid Strategy,Unassigned,Live,10,247,1.5,1223,0.202,1.07,0.016,92.77,2334.1,371.07,4
K435,Google - US,4.30E+16,italy fares,Broad,Western Europe Destinations,Italy,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,1.25,97,1.5,974,0.1,3.99,0.01,145.12,902.7,145.12,1
K1123,Overture - Global,4.30E+16,cheap paris airfare,Advanced,Unassigned,Unassigned,paris,Position 1-2 Target,Unassigned,Sent,0.93,292,0.66,242220,0.001,1.33,0.003,193.54,1185.75,193.54,1
K435,Google - US,4.30E+16,air france deal,Broad,Air France Branded,Air France Brand,uncategorized,Position 1 -2 Target,Unassigned,Live,2.91,53,1.77,592,0.09,1.43,0.019,93.84,536.35,93.84,1
K435,Google - US,4.30E+16,athens airline,Broad,Google_Yearlong 2006,Google|Athens,athens,Postiion 1-4 Bid Strategy,Unassigned,Paused,6.25,76,1.97,2740,0.028,1.45,0.013,149.7,843.2,149.7,1
K1175,Google - Global,4.30E+16,air france ticket,Broad,Air France Brand & French Destinations,Air France Brand,uncategorized,,Unassigned,Unavailable,5,258,2.63,2250,0.115,1.68,0.016,169.38,3814.8,677.52,4
K1175,Google - Global,4.30E+16,flights to france,Broad,Air France Brand & French Destinations,France,uncategorized,,Unassigned,Paused,5,344,2.99,3400,0.101,2.06,0.012,257.26,5706.9,1029.02,4
K1175,Google - Global,4.30E+16,france cheap ticket,Broad,Air France Global Campaign,France,france,Position 1- 3,Unassigned,Unavailable,7.5,60,2.05,1094,0.055,2.48,0.017,122.86,680,122.86,1
K1175,Google - Global,4.30E+16,paris airline,Broad,Air France Global Campaign,Paris,uncategorized,Position 1- 3,Unassigned,Unavailable,2.5,214,1.45,7483,0.029,1.82,0.005,309.85,1706.8,309.85,1
K435,Google - US,4.30E+16,barcelona flight,Broad,Western Europe Destinations,Barcelona,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,0,79,2.05,2217,0.036,3.98,0.013,161.8,889.1,161.8,1
K1122,Overture - US,4.30E+16,greece travel,Advanced,Unassigned,Unassigned,greece,Position 1-4 Bid Strategy,Unassigned,Paused,1.28,1140,1.54,348718,0.003,1.62,0.004,350.48,9574.4,1752.4,5
K1175,Google - Global,4.30E+16,flights to paris,Broad,Air France Brand & French Destinations,Paris,uncategorized,,Unassigned,Unavailable,5,1538,2.03,9687,0.159,1.61,0.012,164.27,16943.9,3121.06,19
K1175,Google - Global,4.30E+16,air france airline,Broad,Air France Global Campaign,Air France,airfrance,Position 1- 3,Unassigned,Unavailable,1.25,110,0.47,1703,0.065,1.42,0.009,51.39,277.95,51.39,1
K1175,Google - Global,4.30E+16,paris airline,Broad,Air France Brand & French Destinations,Paris,uncategorized,,Unassigned,Unavailable,5,189,2.37,2242,0.084,1.49,0.021,111.76,2392.75,447.02,4
K435,Google - US,4.30E+16,paris flight,Broad,Geo Targeted Seattle,Seattle to Paris Sale,uncategorized,Position 2-5 Bid Strategy,Unassigned,Paused,5,97,2.21,972,0.1,1.18,0.021,107.04,1141.55,214.07,2
K1122,Overture - US,4.30E+16,cheap airline ticket to europe,Advanced,Unassigned,Unassigned,europe,Position 1-4 Bid Strategy,Unassigned,Paused,0.81,209,0.85,3864,0.054,2.1,0.005,178.42,937.55,178.42,1
K435,Google - US,4.30E+16,italy airline,Broad,Western Europe Destinations,Italy,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,0,246,1.5,8589,0.029,3.94,0.008,183.91,1922.7,367.81,2
K435,Google - US,4.30E+16,france airfares,Broad,Paris & France Terms,France,uncategorized,Pos 3-6,Unassigned,Unavailable,10,196,2.85,1919,0.102,1.22,0.015,186.37,2912.1,559.1,3
K435,Google - US,4.30E+16,flight to paris,Broad,Paris & France Terms,Paris,uncategorized,Position 5-10 Bid Strategy,Unassigned,Live,10,1638,2.9,13911,0.118,1.18,0.006,475.83,24002.3,4758.31,10
K435,Google - US,4.30E+16,italy airfares,Broad,Western Europe Destinations,Italy,uncategorized,Postiion 1-4 Bid Strategy,Unassigned,Unavailable,11.25,282,2.37,3048,0.093,2.69,0.007,334.49,3294.6,668.99,2
K2615,Yahoo - US,4.30E+16,french airline,Advanced,Air France Branded,Air France Brand,uncategorized,,Unassigned,Live,6.25,96,0.89,1532,0.063,1.27,0.021,42.74,418.2,85.47,2
K435,Google - US,4.30E+16,paris airfares,Broad,Paris & France Terms,Paris,uncategorized,Position 5-10 Bid Strategy,Unassigned,Live,10,209,2.11,1705,0.123,1.42,0.014,146.85,2085.05,440.54,3
K1175,Google - Global,4.30E+16,paris cheap ticket,Broad,Air France Brand & French Destinations,Paris,uncategorized,,Unassigned,Unavailable,5,73,2.42,613,0.119,2.07,0.027,88.47,833.85,176.95,2
K1175,Google - Global,4.30E+16,france fare,Broad,Air France Global Campaign,France,france,Position 1- 3,Unassigned,Unavailable,3.75,145,2.65,4976,0.029,2.23,0.014,191.76,1800.3,383.53,2
